Mercado,Fabricante,Segmento,Data,KG,R$,Unidades,Ticket Médio,Preço por KG,Peso Médio
AREA I - INA,FABRICANTE 1,BOMBOM,2015-01-01,6.9,193.5,61.8,3.1310679611650487,28.043478260869563,0.11165048543689321
AREA I - INA,FABRICANTE 1,BOMBOM,2015-02-01,5.2,149.1,78.3,1.9042145593869733,28.67307692307692,0.06641123882503193
AREA I - INA,FABRICANTE 1,BOMBOM,2015-03-01,8.1,199.3,50.8,3.9232283464566935,24.60493827160494,0.1594488188976378
AREA I - INA,FABRICANTE 1,BOMBOM,2015-04-01,10.2,249.3,61.1,4.080196399345335,24.44117647058824,0.1669394435351882
AREA I - INA,FABRICANTE 1,BOMBOM,2015-05-01,4.8,130.5,36.4,3.5851648351648353,27.1875,0.13186813186813187
AREA I - INA,FABRICANTE 1,BOMBOM,2015-06-01,8.7,245.6,120.9,2.031430934656741,28.229885057471265,0.07196029776674936
AREA I - INA,FABRICANTE 1,BOMBOM,2015-07-01,10.8,301.4,91.8,3.2832244008714597,27.907407407407405,0.11764705882352942
AREA I - INA,FABRICANTE 1,BOMBOM,2015-08-01,6.4,170.3,43.6,3.9059633027522938,26.609375,0.14678899082568808
AREA I - INA,FABRICANTE 1,BOMBOM,2015-09-01,5.3,150.7,52.0,2.898076923076923,28.433962264150942,0.10192307692307692
AREA I - INA,FABRICANTE 1,BOMBOM,2015-10-01,5.2,151.1,42.9,3.5221445221445222,29.057692307692307,0.12121212121212122
AREA I - INA,FABRICANTE 1,BOMBOM,2015-11-01,4.7,142.1,51.8,2.7432432432432434,30.234042553191486,0.09073359073359075
AREA I - INA,FABRICANTE 1,BOMBOM,2015-12-01,4.9,149.0,52.4,2.8435114503816794,30.408163265306122,0.09351145038167939
AREA I - INA,FABRICANTE 1,BOMBOM,2016-01-01,4.6,138.8,41.8,3.3205741626794265,30.173913043478265,0.11004784688995216
AREA I - INA,FABRICANTE 1,BOMBOM,2016-02-01,2.4,75.8,12.5,6.064,31.583333333333332,0.192
AREA I - INA,FABRICANTE 1,BOMBOM,2016-03-01,4.7,150.8,39.0,3.866666666666667,32.08510638297872,0.12051282051282051
AREA I - INA,FABRICANTE 1,BOMBOM,2016-04-01,10.8,348.2,64.7,5.381761978361669,32.24074074074074,0.16692426584234932
AREA I - INA,FABRICANTE 1,BOMBOM,2016-05-01,5.9,180.0,94.2,1.910828025477707,30.508474576271183,0.06263269639065817
AREA I - INA,FABRICANTE 1,BOMBOM,2016-06-01,5.6,174.1,47.2,3.688559322033898,31.089285714285715,0.11864406779661016
AREA I - INA,FABRICANTE 1,BOMBOM,2016-07-01,5.7,170.3,50.2,3.3924302788844622,29.87719298245614,0.11354581673306773
